episode,reward,steps,laps,lap_time_steps,collisions,completed,epsilon,mean_loss,termination_reason,lap_time_seconds
1,-72.0,73,0,,1,False,0.9984588888888889,,collision,
2,-62.0,57,0,,1,False,0.9972555555555556,,collision,
3,-53.0,89,0,,1,False,0.9953766666666667,,collision,
4,-27.0,101,0,,1,False,0.9932444444444445,,collision,
5,-25.0,78,0,,1,False,0.9915977777777778,,collision,
6,-53.0,64,0,,1,False,0.9902466666666667,,collision,
7,-75.0,40,0,,1,False,0.9894022222222222,,collision,
8,-9.0,86,0,,1,False,0.9875866666666666,,collision,
9,-68.0,97,0,,1,False,0.9855388888888889,,collision,
10,-69.0,81,0,,1,False,0.9838288888888889,1.7591875493526459,collision,
11,-80.0,81,0,,1,False,0.9821188888888889,1.826207409799099,collision,
12,-58.0,118,0,,1,False,0.9796277777777778,1.4369887232780456,collision,
13,-77.0,81,0,,1,False,0.9779177777777778,1.4038236930966377,collision,
14,-75.0,32,0,,1,False,0.9772422222222222,1.1674099657684565,collision,
15,-23.0,83,0,,1,False,0.97549,1.5295672562150728,collision,
16,-53.0,74,0,,1,False,0.9739277777777777,1.6581798651152186,collision,
17,-23.0,72,0,,1,False,0.9724077777777778,1.6506783349646463,collision,
18,-43.0,70,0,,1,False,0.97093,1.8056581997209125,collision,
19,-70.0,54,0,,1,False,0.96979,1.3418876603245735,collision,
20,-79.0,58,0,,1,False,0.9685655555555556,1.3780808250109355,collision,
21,-59.0,62,0,,1,False,0.9672566666666667,1.4391722843050956,collision,
